7
1000
12
0	500	0	-50	-49.5	-50.5	-49	-51	0	0	0	0	0	0	
1	500	50	0	0	0	0	0	0	-48.5	0	0	0	0	
2	500	49.5	0	0	0	0	0	-51.5	-48	0	-52	-47.5	0	
3	500	50.5	0	0	0	0	0	0	0	-52.5	0	0	0	
4	500	49	0	0	0	0	0	-47	0	-53	-46.5	-53.5	0	
5	500	51	0	0	0	0	0	-46	0	-54	-45.5	-54.5	0	
6	500	0	0	51.5	0	47	46	0	0	0	0	0	-45	
7	500	0	48.5	48	0	0	0	0	0	0	0	0	-55	
8	500	0	0	0	52.5	53	54	0	0	0	0	0	-44.5	
9	500	0	0	52	0	46.5	45.5	0	0	0	0	0	-55.5	
10	500	0	0	47.5	0	53.5	54.5	0	0	0	0	0	-50	
11	500	0	0	0	0	0	0	45	55	44.5	55.5	50	0	
