84
0
18
0	450	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	450	-50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	450	0	-50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	450	0	0	-50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	450	0	0	0	-50	0	50	0	0	0	0	0	0	0	0	0	0	0	0	
5	450	0	0	0	0	-50	0	50	0	0	0	0	0	0	0	0	0	0	0	
6	450	0	0	0	0	0	-50	0	50	0	0	0	0	0	0	0	0	0	0	
7	450	0	0	0	0	0	0	-50	0	50	0	0	0	0	0	0	0	0	0	
8	450	0	0	0	0	0	0	0	-50	0	50	0	0	0	0	0	0	0	0	
9	450	0	0	0	0	0	0	0	0	-50	0	50	0	0	0	0	0	0	0	
10	450	0	0	0	0	0	0	0	0	0	-50	0	50	0	0	0	0	0	0	
11	450	0	0	0	0	0	0	0	0	0	0	-50	0	50	0	0	0	0	0	
12	450	0	0	0	0	0	0	0	0	0	0	0	-50	0	50	0	0	0	0	
13	450	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	50	0	0	0	
14	450	0	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	50	0	0	
15	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	50	0	
16	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	50	
17	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-50	0	
