7
1000
12
0	500	0	-150	-148.5	-151.5	-147	-153	0	0	0	0	0	0	
1	500	150	0	0	0	0	0	0	-145.5	0	0	0	0	
2	500	148.5	0	0	0	0	0	-154.5	-144	0	-156	-142.5	0	
3	500	151.5	0	0	0	0	0	0	0	-157.5	0	0	0	
4	500	147	0	0	0	0	0	-141	0	-159	-139.5	-160.5	0	
5	500	153	0	0	0	0	0	-138	0	-162	-136.5	-163.5	0	
6	500	0	0	154.5	0	141	138	0	0	0	0	0	-135	
7	500	0	145.5	144	0	0	0	0	0	0	0	0	-165	
8	500	0	0	0	157.5	159	162	0	0	0	0	0	-133.5	
9	500	0	0	156	0	139.5	136.5	0	0	0	0	0	-166.5	
10	500	0	0	142.5	0	160.5	163.5	0	0	0	0	0	-150	
11	500	0	0	0	0	0	0	135	165	133.5	166.5	150	0	
